class, exp, lyamda, value
1,1,190.12,45.6
1,1,190.16,-6.2
1,1,190.2,27.6
1,1,190.24,43
1,1,190.29,-24.2
1,1,190.33,26.4
1,1,190.37,45
1,1,190.41,12.8
1,1,190.45,34.8
1,1,190.5,39.2
1,1,190.54,27.4
1,1,190.58,14.4
1,1,190.62,26.6
1,1,190.66,9.4
1,1,190.71,32.6
1,1,190.75,59.6
1,1,190.79,29.8
1,1,190.83,130
1,1,190.87,7.4
1,1,190.92,30.2
1,1,190.96,18
1,1,191,122.8
1,1,191.04,59.8
1,1,191.09,92.6
1,1,191.13,35.6
1,1,191.17,23
1,1,191.21,-7.2
1,1,191.25,-21.6
1,1,191.3,31.2
1,1,191.34,31.8
1,1,191.38,-26.4
1,1,191.42,60.2
1,1,191.46,13.8
1,1,191.51,-16.4
1,1,191.55,-28.2
1,1,191.59,48
1,1,191.63,-20.6
1,1,191.67,-26.2
1,1,191.72,24.8
1,1,191.76,46.2
1,1,191.8,28.6
1,1,191.84,6.8
1,1,191.88,-9.2
1,1,191.93,-10.6
1,1,191.97,81.2
1,1,192.01,40.6
1,1,192.05,31.6
1,1,192.09,20.8
1,1,192.14,-21.4
1,1,192.18,10
1,1,192.22,66.2
1,1,192.26,9
1,1,192.3,21.6
1,1,192.34,31
1,1,192.39,80.8
1,1,192.43,43.2
1,1,192.47,-9.2
1,1,192.51,57.8
1,1,192.55,31.8
1,1,192.6,53.2
1,1,192.64,26.4
1,1,192.68,10.8
1,1,192.72,27.2
1,1,192.76,7.2
1,1,192.81,2.6
1,1,192.85,24.8
1,1,192.89,32.8
1,1,192.93,-8.6
1,1,192.97,16.2
1,1,193.01,-4.4
1,1,193.06,3.2
1,1,193.1,9.6
1,1,193.14,28.2
1,1,193.18,60.4
1,1,193.22,77.6
1,1,193.26,6.4
1,1,193.31,44.6
1,1,193.35,100.4
1,1,193.39,58.6
1,1,193.43,33.4
1,1,193.47,47.8
1,1,193.52,15.2
1,1,193.56,41.8
1,1,193.6,-14.6
1,1,193.64,-8.4
1,1,193.68,-94.4
1,1,193.72,-18.6
1,1,193.77,121.6
1,1,193.81,80
1,1,193.85,25.2
1,1,193.89,53.4
1,1,193.93,8.8
1,1,193.97,63
1,1,194.02,-7.4
1,1,194.06,6.6
1,1,194.1,19.2
1,1,194.14,22.8
1,1,194.18,0.59998
1,1,194.22,56.2
1,1,194.27,39.2
1,1,194.31,-43.4
1,1,194.35,64.4
1,1,194.39,25
1,1,194.43,71.4
1,1,194.47,15.2
1,1,194.52,23.2
1,1,194.56,45.2
1,1,194.6,37
1,1,194.64,14.8
1,1,194.68,30
1,1,194.72,-21.6
1,1,194.76,66.2
1,1,194.81,27
1,1,194.85,77.6
1,1,194.89,2.2
1,1,194.93,54.4
1,1,194.97,14.6
1,1,195.01,-12.2
1,1,195.06,21
1,1,195.1,19.6
1,1,195.14,95.4
1,1,195.18,21.6
1,1,195.22,64.8
1,1,195.26,-12.2
1,1,195.3,9.8
1,1,195.35,-30.8
1,1,195.39,66.8
1,1,195.43,15
1,1,195.47,-3.8
1,1,195.51,-29
1,1,195.55,59.2
1,1,195.59,40.8
1,1,195.64,35.8
1,1,195.68,10.2
1,1,195.72,18.2
1,1,195.76,28.4
1,1,195.8,0.40002
1,1,195.84,75
1,1,195.88,-27.8
1,1,195.93,-50
1,1,195.97,21.8
1,1,196.01,41.8
1,1,196.05,-41.2
